adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$6,600","$203,300",,9/28,Long Shot Factory,Documentary,Code Black,6/20,325,Unrated,"June 20, 2014",1 hrs. 18 min.,Long Shot,"$190,229",2014,1,10
"$120,400","$190,100",,2/13,Eleven Arts,Animation,Evangelion: 3.0 You Can (Not) Redo,1/10,326,Unrated,"January 10, 2014",1 hrs. 46 min.,Elev.,"$174,945",2014,82,82
"$18,300","$188,800",,9/11,Magnolia,Foreign,We Are The Best!,5/30,327,Unrated,"May 30, 2014",1 hrs. 42 min.,Magn.,"$180,590",2014,3,23
"$47,900","$186,700",,5/1,Samuel Goldwyn,Documentary,Anita,3/21,328,Unrated,"March 21, 2014",1 hrs. 17 min.,Gold.,"$176,979",2014,7,12
"$16,600","$184,500",,11/6,Kino Lorber,Documentary,Afternoon of a Faun,2/5,329,Unrated,"February 5, 2014",1 hrs. 31 min.,KL,"$172,450",2014,2,11
"$112,100","$181,300",,11/30,Radius-TWC,Fantasy Drama,Horns,10/31,330,R,"October 31, 2014",2 hrs. 0 min.,RTWC,"$173,948",2014,103,103
"$80,100","$179,000",,6/8,China Lion,Foreign / Action,That Demon Within,4/18,331,Unrated,"April 18, 2014",1 hrs. 52 min.,CL,"$172,343",2014,12,16
"$22,300","$176,500",,6/19,IFC,Drama,God's Pocket,5/9,332,R,"May 9, 2014",1 hrs. 27 min.,IFC,"$169,976",2014,3,80
"$112,300","$173,700",,2/13,Giant Flick,Fantasy,Sinbad: The Fifth Voyage,2/7,333,PG-13,"February 7, 2014",1 hrs. 29 min.,GFl,"$159,862",2014,27,27
"$24,200","$171,500",,11/6,Tribeca Film,Documentary,NAS: Time is Illmatic,10/1,334,Unrated,"October 1, 2014",1 hrs. 18 min.,Trib.,"$164,540",2014,2,43
"$13,800","$171,100",,12/18,Radius-TWC,Documentary,Keep On Keepin' On,9/19,335,R,"September 19, 2014",1 hrs. 26 min.,RTWC,"$163,745",2014,2,9
"$10,600","$162,200",,7/27,Variance Films,Documentary,Citizen Koch,6/6,336,Unrated,"June 6, 2014",1 hrs. 30 min.,Vari.,"$153,908",2014,1,24
"$4,100","$159,900",,8/21,Music Box Films,Foreign,A Coffee in Berlin,6/13,337,Unrated,"June 13, 2014",1 hrs. 23 min.,MBox,"$150,275",2014,1,12
"$13,200","$159,300",,5/29,Magnolia,Comedy,Alan Partridge: The Movie,4/4,338,R,"April 4, 2014",1 hrs. 30 min.,Magn.,"$153,426",2014,3,22
"$11,000","$156,900",,5/22,IFC,Documentary,Dancing in Jaffa,4/11,339,Unrated,"April 11, 2014",1 hrs. 26 min.,IFC,"$151,098",2014,2,23
"$11,300","$156,200",,8/14,Rialto,Foreign,Godzilla: The Japanese Original,4/18,340,Unrated,"April 18, 2014",1 hrs. 38 min.,Rialto,"$150,191",2014,1,21
"$39,800","$154,800",,7/17,Paladin,Documentary,Kids For Cash,2/7,341,Unrated,"February 7, 2014",1 hrs. 42 min.,Pala.,"$143,178",2014,4,12
"$30,700","$147,200",,11/13,Drafthouse,Sci-Fi,The Congress,8/29,342,Unrated,"August 29, 2014",1 hrs. 57 min.,Drft.,"$137,815",2014,15,37
"$14,300","$146,500",,7/17,IFC,Documentary,Gore Vidal: United States of Amnesia,5/23,343,Unrated,"May 23, 2014",1 hrs. 29 min.,IFC,"$140,164",2014,2,11
"$52,500","$146,300",,8/14,CJ Entertainment,Foreign,The Divine Move,7/25,344,Unrated,"July 25, 2014",1 hrs. 58 min.,CJ,"$136,707",2014,11,11
,"$144,900",,-,Warner Bros.,Animation,The Polar Express (2014 re-issue),11/1,345,G,"November 1, 2014",1 hrs. 40 min.,WB,"$139,055Domestic Lifetime Gross: $186,493,472",2014,,
"$95,300","$144,300",,5/15,Abramorama,Documentary,Mistaken for Strangers,3/28,346,Unrated,"March 28, 2014",1 hrs. 15 min.,Abr.,"$138,991",2014,9,9
,"$142,400",,8/10,Film Movement,Foreign,The Jewish Cardinal,1/10,347,Unrated,"January 10, 2014",1 hrs. 36 min.,FM,"$133,663",2014,,7
"$89,600","$140,400",,9/7,UTV Communications,Foreign,Raja Natwarlal,8/29,348,Unrated,"August 29, 2014",2 hrs. 21 min.,UTV,"$131,105",2014,73,73
,"$140,100",,11/13,"Monterey Media, Inc.",Drama,Redwood Highway,4/11,349,PG-13,"April 11, 2014",1 hrs. 30 min.,Mont.,"$134,049",2014,1,17
"$19,000","$134,600",,2/27,Entertainment One,Comedy,Knights of Badassdom,1/21,350,R,"January 21, 2014",1 hrs. 26 min.,EOne,"$123,854",2014,13,13
,"$133,100",,11/16,Cinema Purgatorio,Documentary,Bjork - Biophilia Live,9/26,351,Unrated,"September 26, 2014",1 hrs. 37 min.,CP,"$127,754",2014,,27
"$84,300","$129,900",,5/1,High Top Releasing,Drama,Make Your Move,4/18,352,PG-13,"April 18, 2014",1 hrs. 50 min.,HTR,"$125,106",2014,142,142
,"$129,400",,2/19,Kino Lorber,Documentary,Finding Fela,8/1,353,Unrated,"August 1, 2014",1 hrs. 59 min.,KL,"$120,980",2014,,11
"$72,100","$125,800",,4/13,CBS Films,Horror,Afflicted (2014),4/4,354,R,"April 4, 2014",1 hrs. 25 min.,CBS,"$121,179",2014,44,44
"$9,800","$122,200",,3/5,Zeitgeist,Foreign,Zero Motivation,12/3,355,Unrated,"December 3, 2014",1 hrs. 40 min.,Zeit.,"$116,044",2014,1,7
"$40,700","$119,100",,-,Eleven Arts,Animation,Anohana The Movie: The Flower We Saw That Day,1/18,356,Unrated,"January 18, 2014",1 hrs. 46 min.,Elev.,"$109,630",2014,17,41
